First,Last,State,Party
 Alma S. ,Adams,North Carolina,Democratic
 Robert B. ,Aderholt,Alabama,Republican
 Pete ,Aguilar,California,Democratic
 Rick W. ,Allen,Georgia,Republican
 Colin Z. ,Allred,Texas,Democratic
 Mark E. ,Amodei,Nevada,Republican
 Kelly ,Armstrong,North Dakota,Republican
 Jodey C. ,Arrington,Texas,Republican
 Jake ,Auchincloss,Massachusetts,Democratic
 Cynthia ,Axne,Iowa,Democratic
 Brian ,Babin,Texas,Republican
 Don ,Bacon,Nebraska,Republican
 James R. ,Baird,Indiana,Republican
 Troy ,Balderson,Ohio,Republican
 Tammy ,Baldwin,Wisconsin,Democratic
 Jim ,Banks,Indiana,Republican
 Andy ,Barr,Kentucky,Republican
 Nanette Diaz ,Barragán,California,Democratic
 John ,Barrasso,Wyoming,Republican
 Karen ,Bass,California,Democratic
 Joyce ,Beatty,Ohio,Democratic
 Michael F. ,Bennet,Colorado,Democratic
 Cliff ,Bentz,Oregon,Republican
 Ami ,Bera,California,Democratic
 Jack ,Bergman,Michigan,Republican
 Donald S. ,Beyer,Virginia,Democratic
 Stephanie I. ,Bice,Oklahoma,Republican
 Andy ,Biggs,Arizona,Republican
 Gus M. ,Bilirakis,Florida,Republican
 Dan ,Bishop,North Carolina,Republican
 Sanford D. ,Bishop,Georgia,Democratic
 Marsha ,Blackburn,Tennessee,Republican
 Earl ,Blumenauer,Oregon,Democratic
 Richard ,Blumenthal,Connecticut,Democratic
 Lisa ,Blunt Rochester,Delaware,Democratic
 Roy ,Blunt,Missouri,Republican
 Lauren ,Boebert,Colorado,Republican
 Suzanne ,Bonamici,Oregon,Democratic
 Cory A. ,Booker,New Jersey,Democratic
 John ,Boozman,Arkansas,Republican
 Mike ,Bost,Illinois,Republican
 Carolyn ,Bourdeaux,Georgia,Democratic
 Jamaal ,Bowman,New York,Democratic
 Brendan F. ,Boyle,Pennsylvania,Democratic
 Kevin ,Brady,Texas,Republican
 Mike ,Braun,Indiana,Republican
 Mo ,Brooks,Alabama,Republican
 Anthony G. ,Brown,Maryland,Democratic
 Sherrod ,Brown,Ohio,Democratic
 Shontel M. ,Brown,Ohio,Democratic
 Julia ,Brownley,California,Democratic
 Vern ,Buchanan,Florida,Republican
 Ken ,Buck,Colorado,Republican
 Larry ,Bucshon,Indiana,Republican
 Ted ,Budd,North Carolina,Republican
 Tim ,Burchett,Tennessee,Republican
 Michael C. ,Burgess,Texas,Republican
 Richard ,Burr,North Carolina,Republican
 Cori ,Bush,Missouri,Democratic
 Cheri ,Bustos,Illinois,Democratic
 G. K. ,Butterfield,North Carolina,Democratic
 Ken ,Calvert,California,Republican
 Kat ,Cammack,Florida,Republican
 Maria ,Cantwell,Washington,Democratic
 Shelley Moore ,Capito,West Virginia,Republican
 Salud O. ,Carbajal,California,Democratic
 Tony ,Cárdenas,California,Democratic
 Benjamin L. ,Cardin,Maryland,Democratic
 Mike ,Carey,Ohio,Republican
 Jerry L. ,Carl,Alabama,Republican
 Thomas R. ,Carper,Delaware,Democratic
 André ,Carson,Indiana,Democratic
" Earl L. ""Buddy"" ",Carter,Georgia,Republican
 John R. ,Carter,Texas,Republican
 Troy A. ,Carter,Louisiana,Democratic
 Matt ,Cartwright,Pennsylvania,Democratic
 Ed ,Case,Hawaii,Democratic
 Robert P.,Casey,Pennsylvania,Democratic
 Bill ,Cassidy,Louisiana,Republican
 Sean ,Casten,Illinois,Democratic
 Kathy ,Castor,Florida,Democratic
 Joaquin ,Castro,Texas,Democratic
 Madison ,Cawthorn,North Carolina,Republican
 Steve ,Chabot,Ohio,Republican
 Liz ,Cheney,Wyoming,Republican
,Cherfilus,Florida,Democratic
 Judy ,Chu,California,Democratic
 David N. ,Cicilline,Rhode Island,Democratic
 Katherine M. ,Clark,Massachusetts,Democratic
 Yvette D. ,Clarke,New York,Democratic
 Emanuel ,Cleaver,Missouri,Democratic
 Ben ,Cline,Virginia,Republican
 Michael ,Cloud,Texas,Republican
 James E. ,Clyburn,South Carolina,Democratic
 Andrew S. ,Clyde,Georgia,Republican
 Steve ,Cohen,Tennessee,Democratic
 Tom ,Cole,Oklahoma,Republican
 Susan M. ,Collins,Maine,Republican
 James ,Comer,Kentucky,Republican
 Gerald E. ,Connolly,Virginia,Democratic
 Connie ,Conway,California,Republican
 Christopher A. ,Coons,Delaware,Democratic
 Jim ,Cooper,Tennessee,Democratic
 John ,Cornyn,Texas,Republican
 J. Luis ,Correa,California,Democratic
 Catherine ,Cortez Masto,Nevada,Democratic
 Jim ,Costa,California,Democratic
 Tom ,Cotton,Arkansas,Republican
 Joe ,Courtney,Connecticut,Democratic
 Angie ,Craig,Minnesota,Democratic
 Kevin ,Cramer,North Dakota,Republican
 Mike ,Crapo,Idaho,Republican
" Eric A. ""Rick"" ",Crawford,Arkansas,Republican
 Dan ,Crenshaw,Texas,Republican
 Charlie ,Crist,Florida,Democratic
 Jason ,Crow,Colorado,Democratic
 Ted ,Cruz,Texas,Republican
 Henry ,Cuellar,Texas,Democratic
 John R. ,Curtis,Utah,Republican
 Steve ,Daines,Montana,Republican
 Sharice ,Davids,Kansas,Democratic
 Warren ,Davidson,Ohio,Republican
 Danny K. ,Davis,Illinois,Democratic
 Rodney ,Davis,Illinois,Republican
 Madeleine ,Dean,Pennsylvania,Democratic
 Peter A. ,DeFazio,Oregon,Democratic
 Diana ,DeGette,Colorado,Democratic
 Rosa L. ,DeLauro,Connecticut,Democratic
 Suzan K. ,DelBene,Washington,Democratic
 Antonio ,Delgado,New York,Democratic
 Val Butler ,Demings,Florida,Democratic
 Mark ,DeSaulnier,California,Democratic
 Scott ,DesJarlais,Tennessee,Republican
 Theodore E. ,Deutch,Florida,Democratic
,Diaz,Florida,Republican
 Debbie ,Dingell,Michigan,Democratic
 Lloyd ,Doggett,Texas,Democratic
 Byron ,Donalds,Florida,Republican
 Michael F. ,Doyle,Pennsylvania,Democratic
 Tammy ,Duckworth,Illinois,Democratic
 Jeff ,Duncan,South Carolina,Republican
 Neal P. ,Dunn,Florida,Republican
 Richard J. ,Durbin,Illinois,Democratic
 Jake ,Ellzey,Texas,Republican
 Tom ,Emmer,Minnesota,Republican
 Joni ,Ernst,Iowa,Republican
 Veronica ,Escobar,Texas,Democratic
 Anna G. ,Eshoo,California,Democratic
 Adriano ,Espaillat,New York,Democratic
 Ron ,Estes,Kansas,Republican
 Dwight ,Evans,Pennsylvania,Democratic
 Pat ,Fallon,Texas,Republican
 Randy ,Feenstra,Iowa,Republican
 Dianne ,Feinstein,California,Democratic
 A. Drew ,Ferguson,Georgia,Republican
 Brad ,Finstad,Minnesota,Republican
 Michelle ,Fischbach,Minnesota,Republican
 Deb ,Fischer,Nebraska,Republican
 Scott ,Fitzgerald,Wisconsin,Republican
 Brian K. ,Fitzpatrick,Pennsylvania,Republican
" Charles J. ""Chuck"" ",Fleischmann,Tennessee,Republican
 Lizzie ,Fletcher,Texas,Democratic
 Mike ,Flood,Nebraska,Republican
 Mayra ,Flores,Texas,Republican
 Jeff ,Fortenberry,Nebraska,Republican
 Bill ,Foster,Illinois,Democratic
 Virginia ,Foxx,North Carolina,Republican
 Lois ,Frankel,Florida,Democratic
 Scott ,Franklin,Florida,Republican
 Marcia L. ,Fudge,Ohio,Democratic
 Russ ,Fulcher,Idaho,Republican
 Matt ,Gaetz,Florida,Republican
 Mike ,Gallagher,Wisconsin,Republican
 Ruben ,Gallego,Arizona,Democratic
 John ,Garamendi,California,Democratic
 Andrew R. ,Garbarino,New York,Republican
" Jesús G. ""Chuy"" ",García,Illinois,Democratic
 Mike ,Garcia,California,Republican
 Sylvia R. ,Garcia,Texas,Democratic
 Bob ,Gibbs,Ohio,Republican
 Kirsten E. ,Gillibrand,New York,Democratic
 Carlos A. ,Gimenez,Florida,Republican
 Louie ,Gohmert,Texas,Republican
 Jared F. ,Golden,Maine,Democratic
 Jimmy ,Gomez,California,Democratic
 Tony ,Gonzales,Texas,Republican
 Anthony ,Gonzalez,Ohio,Republican
 Vicente ,Gonzalez,Texas,Democratic
,González,Puerto Rico,Republican
 Bob ,Good,Virginia,Republican
 Lance ,Gooden,Texas,Republican
 Paul A. ,Gosar,Arizona,Republican
 Josh ,Gottheimer,New Jersey,Democratic
 Lindsey ,Graham,South Carolina,Republican
 Kay ,Granger,Texas,Republican
 Chuck ,Grassley,Iowa,Republican
 Garret ,Graves,Louisiana,Republican
 Sam ,Graves,Missouri,Republican
 Al ,Green,Texas,Democratic
 Mark E. ,Green,Tennessee,Republican
