name,username
A. Ferguson,RepDrewFerguson
A. McEachin,RepMcEachin
Abigail Spanberger,RepSpanberger
Adam Kinzinger,RepKinzinger
Adam Schiff,RepAdamSchiff
Adam Smith,RepAdamSmith
Adrian Smith,RepAdrianSmith
Adriano Espaillat,RepEspaillat
Al Green,RepAlGreen
Al Lawson,RepAlLawsonJr
Alan Lowenthal,RepLowenthal
Albio Sires,RepSires
Alcee Hastings,RepHastingsFL
Alex Mooney,RepAlexMooney
Alex Padilla,SenAlexPadilla
Alexandria Ocasio-Cortez,RepAOC
Alma Adams,RepAdams
Amata Radewagen,RepAmata
Ami Bera,RepBera
Amy Klobuchar,SenAmyKlobuchar
Andrew Clyde,GA
Andrew Garbarino,RepGarbarino
Andr� Carson,RepAndreCarson
Andy Barr,RepAndyBarr
Andy Biggs,RepAndyBiggsAZ
Andy Harris,RepAndyHarrisMD
Andy Kim,RepAndyKimNJ
Andy Levin,RepAndyLevin
Angie Craig,RepAngieCraig
Angus King,Jr.
Ann Kirkpatrick,RepKirkpatrick
Ann Kuster,RepAnnieKuster
Ann Wagner,RepAnnWagner
Anna Eshoo,RepAnnaEshoo
Anthony Brown,RepAnthonyBrown
Anthony Gonzalez,RepAGonzalez
Antonio Delgado,repdelgado
Ashley Hinson,RepAshleyHinson
August Pfluger,RepPfluger
Austin Scott,AustinScottGA08
Ayanna Pressley,RepPressley
Barbara Lee,RepBarbaraLee
Barry Loudermilk,RepLoudermilk
Barry Moore,RepBarryMoore
Ben Cline,RepBenCline
Ben Lujan,SenatorLujan
Ben Sasse,SenSasse
Benjamin Cardin,SenatorCardin
Bernard Sanders,SenSanders
Bernie Thompson,BennieGThompson
Beth Van Duyne,RepBethVanDuyne
Betty McCollum,BettyMcCollum04
Bill Cassidy,SenBillCassidy
Bill Foster,RepBillFoster
Bill Hagerty,SenatorHagerty
Bill Huizenga,RepHuizenga
Bill Johnson,RepBillJohnson
Bill Pascrell Jr.,BillPascrell
Bill Posey,congbillposey
Billy Long,USRepLong
Blaine Luetkemeyer,RepBlaine
Blake Moore,RepBlakeMoore
Bob Gibbs,RepBobGibbs
Bob Good,RepBobGood
Bob Menendez,SenatorMenendez
Bobby Rush,RepBobbyRush
Bonnie Watson Coleman,RepBonnie
Brad Sherman,BradSherman
Brad Wenstrup,RepBradWenstrup
Bradley Schneider,RepSchneider
Brenda Lawrence,RepLawrence
Brendan Boyle,CongBoyle
Brian Babin,RepBrianBabin
Brian Fitzpatrick,RepBrianFitz
Brian Higgins,RepBrianHiggins
Brian Mast,RepBrianMast
Brian Schatz,SenBrianSchatz
Bruce Westerman,RepWesterman
Bryan Steil,RepBryanSteil
Buddy Carter,RepBuddyCarter
Burgess Owens,RepBurgessOwens
Byron Donalds,RepDonaldsPress
C. Franklin,RepFranklin
C. Ruppersberger,Dutch
Carlos Gimenez,RepCarlos
Carol Miller,RepCarolMiller
Carolyn Bourdeaux,RepBourdeaux
Carolyn Maloney,RepMaloney
Catherine Cortez Masto,SenCortezMasto
Cathy Rodgers,cathymcmorris
Charles Schumer,SenSchumer
Charlie Crist,RepCharlieCrist
Chellie Pingree,chelliepingree
Cheri Bustos,RepCheri
Chip Roy,RepChipRoy
Chris Jacobs,RepJacobs
Chris Pappas,RepChrisPappas
Chris Smith,R
Chris Stewart,RepChrisStewart
Chris Van Hollen,ChrisVanHollen
Chrissy Houlahan,RepHoulahan
Christopher Coons,ChrisCoons
Christopher Murphy,ChrisMurphyCT
Chuck Fleischmann,RepChuck
Chuck Grassley,ChuckGrassley
Cindy Axne,RepCindyAxne
Cindy Hyde-Smith,SenHydeSmith
Clay Higgins,RepClayHiggins
Cliff Bentz,RepBentz
Colin Allred,RepColinAllred
Conor Lamb,RepConorLamb
Cori Bush,RepCori
Cory Booker,CoryBooker
Cynthia Lummis,SenLummis
Dan Bishop,RepDanBishop
Dan Crenshaw,RepDanCrenshaw
Dan Kildee,RepDanKildee
Dan Newhouse,RepNewhouse
Dan Sullivan,SenDanSullivan
Daniel Meuser,RepMeuser
Daniel Webster,RepWebster
Danny Davis,RepDannyDavis
Darin LaHood,RepLaHood
Darrell Issa,repdarrellissa
Darren Soto,RepDarrenSoto
David Cicilline,RepCicilline
David Joyce,RepDaveJoyce
David Kustoff,RepDavidKustoff
David McKinley,RepMcKinley
David Price,RepDavidEPrice
