Last Name,First Name,Handle,Handle,,,
Murkowski,Lisa,lisamurkowski,,,,
Sullivan,Dan,SenDanSullivan,,,,
Shelby,Richard,C.,SenShelby,,,
Tuberville,Tommy,SenTuberville,,,,
Boozman,John,JohnBoozman,,,,
Cotton,Tom,SenTomCotton,,,,
Kelly,Mark,SenMarkKelly,,,,
Sinema,Kyrsten,SenatorSinema,,,,
Feinstein,Dianne,SenFeinstein,,,,
Padilla,Alex,SenAlexPadilla,,,,
Bennet,Michael,F.,SenatorBennet,,,
Hickenlooper,John,W.,SenatorHick,,,
Blumenthal,Richard,SenBlumenthal,,,,
Murphy,Christopher,ChrisMurphyCT,,,,
Carper,Thomas,R.,SenatorCarper,,,
Coons,Christopher,A.,ChrisCoons,,,
Rubio,Marco,marcorubio,,,,
Scott,Rick,SenRickScott,,,,
Ossoff,Jon,ossoff,,,,
Warnock,Raphael,G.,SenatorWarnock,,,
Hirono,Mazie,K.,maziehirono,,,
Schatz,Brian,SenBrianSchatz,,,,
Ernst,Joni,SenJoniErnst,,,,
Grassley,Chuck,ChuckGrassley,,,,
Crapo,Mike,MikeCrapo,,,,
Risch,James,E.,SenatorRisch,,,
Duckworth,Tammy,SenDuckworth,,,,
Durbin,Richard,J.,SenatorDurbin,,,
Braun,Mike,SenatorBraun,,,,
Young,Todd,SenToddYoung,,,,
Marshall,Roger,SenatorMarshall,,,,
Moran,Jerry,JerryMoran,,,,
McConnell,Mitch,senatemajldr,,,,
Paul,Rand,RandPaul,,,,
Cassidy,Bill,SenBillCassidy,,,,
Kennedy,John,SenJohnKennedy,,,,
Markey,Edward,J.,SenMarkey,,,
Warren,Elizabeth,SenWarren,,,,
Cardin,Benjamin,L.,SenatorCardin,,,
Van Hollen,Chris,ChrisVanHollen,,,,
Collins,Susan,M.,SenatorCollins,,,
King,Angus,S.,Jr.,,,
Peters,Gary,C.,SenGaryPeters,,,
Stabenow,Debbie,SenStabenow,,,,
Klobuchar,Amy,SenAmyKlobuchar,,,,
Smith,Tina,SenTinaSmith,,,,
Blunt,Roy,RoyBlunt,,,,
Hawley,Josh,HawleyMO,,,,
Hyde-Smith,Cindy,SenHydeSmith,,,,
Wicker,Roger,F.,SenatorWicker,,,
Daines,Steve,SteveDaines,,,,
Tester,Jon,SenatorTester,,,,
Burr,Richard,SenatorBurr,,,,
Tillis,Thom,SenThomTillis,,,,
Cramer,Kevin,SenKevinCramer,,,,
Hoeven,John,SenJohnHoeven,,,,
Fischer,Deb,SenatorFischer,,,,
Sasse,Ben,SenSasse,,,,
Hassan,Margaret,Wood,SenatorHassan,,,
Shaheen,Jeanne,SenatorShaheen,,,,
Booker,Cory,A.,CoryBooker,,,
Menendez,Bob,SenatorMenendez,,,,
Heinrich,Martin,MartinHeinrich,,,,
Lujan,Ben,Ray,SenatorLujan,,,
Cortez Masto,Catherine,SenCortezMasto,,,,
Rosen,Jacky,SenJackyRosen,,,,
Gillibrand,Kirsten,E.,SenGillibrand,,,
Schumer,Charles,E.,SenSchumer,,,
Brown,Sherrod,SenSherrodBrown,,,,
Portman,Rob,senrobportman,,,,
Inhofe,James,M.,JimInhofe,,,
Lankford,James,SenatorLankford,,,,
Merkley,Jeff,SenJeffMerkley,,,,
Wyden,Ron,RonWyden,,,,
Casey,Robert,P.,Jr.,,,
Toomey,Patrick,J.,SenToomey,,,
Reed,Jack,SenJackReed,,,,
Whitehouse,Sheldon,SenWhitehouse,,,,
Graham,Lindsey,LindseyGrahamSC,,,,
Scott,Tim,SenatorTimScott,,,,
Rounds,Mike,SenatorRounds,,,,
Thune,John,SenJohnThune,,,,
Blackburn,Marsha,MarshaBlackburn,,,,
Hagerty,Bill,SenatorHagerty,,,,
Cornyn,John,JohnCornyn,,,,
Cruz,Ted,SenTedCruz,,,,
Lee,Mike,SenMikeLee,,,,
Romney,Mitt,SenatorRomney,,,,
Kaine,Tim,timkaine,,,,
Warner,Mark,R.,MarkWarner,,,
Leahy,Patrick,J.,SenatorLeahy,,,
Sanders,Bernard,SenSanders,,,,
Cantwell,Maria,SenatorCantwell,,,,
Murrary,Patty,PattyMurray,,,,
Baldwin,Tammy,SenatorBaldwin,,,,
Johnson,Ron,SenRonJohnson,,,,
Capito,Shelley,Moore,SenCapito,,,
Manchin,Joe,,,,,
Barrasso,John,SenJohnBarrasso,,,,
Lummis,Cynthia,M.,SenLummis,,,
Young,Don,repdonyoung,,,,
Aderholt,Robert,Robert_Aderholt,,,,
Brooks,Mo,RepMoBrooks,,,,
Carl,Jerry,L.,RepJerryCarl,,,
Moore,Barry,RepBarryMoore,,,,
Palmer,Gary,USRepGaryPalmer,,,,
Rogers,Mike,RepMikeRogersAL,,,,
Sewell,Terri,A.,RepTerriSewell,,,
Crawford,Rick,RepRickCrawford,,,,
Hill,French,RepFrenchHill,,,,
Westerman,Bruce,RepWesterman,,,,
Womack,Steve,rep_stevewomack,,,,
Radewagen,Amata,RepAmata,,,,
Biggs,Andy,RepAndyBiggsAZ,,,,
Gallego,Ruben,RepRubenGallego,,,,
