,username,party
0,SenatorBaldwin,Democrat
1,SenJohnBarrasso,Republican
2,SenatorBennet,Democrat
3,MarshaBlackburn,Republican
4,SenBlumenthal,Democrat
5,RoyBlunt,Republican
6,CoryBooker,Democrat
7,JohnBoozman,Republican
8,SenatorBraun,Republican
9,SenSherrodBrown,Democrat
10,SenatorCantwell,Democrat
11,SenCapito,Republican
12,SenatorCardin,Democrat
13,SenatorCarper,Democrat
14,SenBobCasey,Democrat
15,SenBillCassidy,Republican
16,ChrisCoons,Democrat
17,JohnCornyn,Republican
18,SenCortezMasto,Democrat
19,SenTomCotton,Republican
20,SenKevinCramer,Republican
21,MikeCrapo,Republican
22,SenTedCruz,Republican
23,SteveDaines,Republican
24,SenDuckworth,Democrat
25,SenatorDurbin,Democrat
26,SenJoniErnst,Republican
27,SenFeinstein,Democrat
28,SenatorFischer,Republican
29,SenGillibrand,Democrat
30,LindseyGrahamSC,Republican
31,ChuckGrassley,Republican
32,SenatorHagerty,Republican
33,SenatorHassan,Democrat
34,HawleyMO,Republican
35,MartinHeinrich,Democrat
36,SenatorHick,Democrat
37,maziehirono,Democrat
38,SenJohnHoeven,Republican
39,SenHydeSmith,Republican
40,JimInhofe,Republican
41,SenRonJohnson,Republican
42,timkaine,Democrat
43,SenMarkKelly,Democrat
44,SenJohnKennedy,Republican
45,SenAngusKing,Democrat
46,SenAmyKlobuchar,Democrat
47,SenatorLankford,Republican
48,SenatorLeahy,Democrat
49,SenMikeLee,Republican
50,SenatorLujan,Democrat
51,SenLummis,Republican
52,Sen_JoeManchin,Democrat
53,SenMarkey,Democrat
54,SenatorMenendez,Democrat
55,SenJeffMerkley,Democrat
56,JerryMoran,Republican
57,lisamurkowski,Republican
58,ChrisMurphyCT,Democrat
59,PattyMurray,Democrat
60,ossoff,Democrat
61,SenAlexPadilla,Democrat
62,RandPaul,Republican
63,SenGaryPeters,Democrat
64,senrobportman,Republican
65,SenJackReed,Democrat
66,SenatorRisch,Republican
67,SenatorRomney,Republican
68,SenJackyRosen,Democrat
69,marcorubio,Republican
70,SenSanders,Democrat
71,SenSchumer,Democrat
72,SenRickScott,Republican
73,SenatorTimScott,Republican
74,SenatorShaheen,Democrat
75,SenatorSinema,Democrat
76,SenTinaSmith,Democrat
77,SenStabenow,Democrat
78,SenDanSullivan,Republican
79,SenatorTester,Democrat
80,SenJohnThune,Republican
81,SenThomTillis,Republican
82,SenToomey,Republican
83,SenTuberville,Republican
84,ChrisVanHollen,Democrat
85,MarkWarner,Democrat
86,SenatorWarnock,Democrat
87,SenWarren,Democrat
88,SenWhitehouse,Democrat
89,SenatorWicker,Republican
90,RonWyden,Democrat
91,SenToddYoung,Republican
92,RepAdams,Democrat
93,Robert_Aderholt,Republican
94,RepPeteAguilar,Democrat
95,RepRickAllen,Republican
96,RepColinAllred,Democrat
97,RepArmstrongND,Republican
98,RepArrington,Republican
99,RepAuchincloss,Democrat
100,RepCindyAxne,Democrat
101,RepBrianBabin,Republican
102,RepDonBacon,Republican
103,RepJimBaird,Republican
104,RepBalderson,Republican
105,RepJimBanks,Republican
106,RepAndyBarr,Republican
107,RepBarragan,Democrat
108,RepKarenBass,Democrat
109,RepBeatty,Democrat
110,RepBera,Democrat
111,RepDonBeyer,Democrat
112,RepBice,Republican
113,RepAndyBiggsAZ,Republican
114,RepGusBilirakis,Republican
115,SanfordBishop,Democrat
116,RepDanBishop,Republican
117,RepLBR,Democrat
118,RepBoebert,Republican
119,RepBonamici,Democrat
120,RepBost,Republican
121,RepBourdeaux,Democrat
122,RepBowman,Democrat
123,CongBoyle,Democrat
124,RepKevinBrady,Republican
125,RepMoBrooks,Republican
126,RepAnthonyBrown,Democrat
127,RepShontelBrown,Democrat
128,RepBrownley,Democrat
129,VernBuchanan,Republican
130,RepKenBuck,Republican
131,RepLarryBucshon,Republican
132,RepTedBudd,Republican
133,RepTimBurchett,Republican
134,michaelcburgess,Republican
135,RepCori,Democrat
136,RepCheri,Democrat
137,RepKatCammack,Republican
138,RepCarbajal,Democrat
139,RepCardenas,Democrat
140,RepMikeCarey,Republican
141,RepJerryCarl,Republican
142,RepAndreCarson,Democrat
143,RepBuddyCarter,Republican
144,JudgeCarter,Republican
145,RepTroyCarter,Democrat
146,RepEdCase,Democrat
147,RepCasten,Democrat
148,USRepKCastor,Democrat
149,JoaquinCastrotx,Democrat
150,RepCawthorn,Republican
151,RepSteveChabot,Republican
152,RepLizCheney,Republican
153,CongresswomanSC,Republican
154,RepJudyChu,Democrat
155,RepKClark,Democrat
156,RepYvetteClarke,Democrat
157,repcleaver,Democrat
158,RepBenCline,Republican
159,RepCloudTX,Republican
160,WhipClyburn,Democrat
161,Rep_Clyde,Republican
162,RepCohen,Democrat
163,TomColeOK04,Republican
164,RepJamesComer,Republican
165,GerryConnolly,Democrat
166,RepLouCorrea,Democrat
167,RepJimCosta,Democrat
168,RepJoeCourtney,Democrat
169,RepAngieCraig,Democrat
170,RepCharlieCrist,Democrat
171,RepJasonCrow,Democrat
172,RepJohnCurtis,Republican
173,RepDavids,Democrat
174,WarrenDavidson,Republican
175,RodneyDavis,Republican
176,RepDean,Democrat
177,RepPeterDeFazio,Democrat
178,RepDianaDeGette,Democrat
179,rosadelauro,Democrat
180,RepDelBene,Democrat
181,repdelgado,Democrat
182,RepValDemings,Democrat
183,RepDeSaulnier,Democrat
